Shipment_ID,Origin,Destination,Shipment_Date,Planned_Delivery_Date,Actual_Delivery_Date,Vehicle_Type,Distance_(km),Weather_Conditions,Traffic_Conditions,Delayed,Planned_Delivery_Days,Actual_Delivery_Days,Delay_Days,Shipment_Month,Shipment_Day_Of_Week,Is_Weekend,Shipment_Quarter,Distance_Category,Avg_Speed,Is_Long_Distance,Is_Bad_Weather,Is_Heavy_Traffic
24,5,0,2023-12-20,2023-12-23,2023-12-23,3,935,0,1,0,3,3,0,12,2,0,4,1,311.6666666666667,0,0,0
25,3,2,2023-11-30,2023-12-01,2023-12-03,1,531,2,2,1,1,3,2,11,3,0,4,4,177.0,0,1,0
26,6,2,2023-05-22,2023-05-26,2023-05-26,0,1328,0,1,0,4,4,0,5,0,0,2,0,332.0,1,0,0
27,4,9,2023-10-31,2023-11-05,2023-11-07,2,1768,0,0,1,5,7,2,10,1,0,4,3,252.57142857142858,1,0,1
28,9,2,2023-08-19,2023-08-25,2023-08-25,0,1997,0,1,0,6,6,0,8,5,1,3,3,332.8333333333333,1,0,0
29,0,6,2023-08-12,2023-08-13,2023-08-13,1,215,0,1,0,1,1,0,8,5,1,3,4,215.0,0,0,0
30,4,9,2023-08-19,2023-08-24,2023-08-27,2,1568,2,0,1,5,8,3,8,5,1,3,0,196.0,1,1,1
31,5,0,2024-04-13,2024-04-14,2024-04-14,1,227,0,1,0,1,1,0,4,5,1,2,4,227.0,0,0,0
32,0,4,2023-05-05,2023-05-10,2023-05-13,1,1621,2,0,1,5,8,3,5,4,0,2,0,202.625,1,1,1
33,0,8,2024-04-19,2024-04-24,2024-04-26,3,1582,0,1,1,5,7,2,4,4,0,2,0,226.0,1,0,0
34,9,2,2023-10-05,2023-10-07,2023-10-07,1,806,0,1,0,2,2,0,10,3,0,4,2,403.0,0,0,0
35,8,3,2023-01-03,2023-01-04,2023-01-09,2,291,0,1,1,1,6,5,1,1,0,1,4,48.5,0,0,0
36,2,6,2023-10-10,2023-10-12,2023-10-14,1,785,1,1,1,2,4,2,10,1,0,4,2,196.25,0,1,0
37,7,2,2023-11-23,2023-11-29,2023-11-29,3,1886,0,1,0,6,6,0,11,3,0,4,3,314.3333333333333,1,0,0
38,9,8,2023-07-24,2023-07-27,2023-07-27,2,961,0,1,0,3,3,0,7,0,0,3,1,320.3333333333333,0,0,0
39,3,5,2024-02-09,2024-02-15,2024-02-18,2,1968,0,1,1,6,9,3,2,4,0,1,3,218.66666666666666,1,0,0
40,2,9,2023-05-31,2023-06-01,2023-06-04,1,333,0,1,1,1,4,3,5,2,0,2,4,83.25,0,0,0
41,2,9,2023-06-07,2023-06-12,2023-06-14,2,1513,0,0,1,5,7,2,6,2,0,2,0,216.14285714285714,1,0,1
42,0,6,2023-12-25,2023-12-29,2023-12-30,1,1228,0,2,1,4,5,1,12,0,0,4,1,245.6,1,0,0
43,6,8,2023-06-19,2023-06-21,2023-06-24,1,872,2,0,1,2,5,3,6,0,0,2,2,174.4,0,1,1
44,8,5,2023-11-28,2023-11-30,2023-11-30,0,812,0,1,0,2,2,0,11,1,0,4,2,406.0,0,0,0
45,0,3,2024-04-13,2024-04-17,2024-04-19,0,1244,0,1,1,4,6,2,4,5,1,2,1,207.33333333333334,1,0,0
46,8,0,2023-11-29,2023-11-30,2023-12-01,3,355,0,2,1,1,2,1,11,2,0,4,4,177.5,0,0,0
47,8,5,2024-05-17,2024-05-20,2024-05-20,0,1193,0,1,0,3,3,0,5,4,0,2,1,397.6666666666667,1,0,0
48,9,0,2023-08-07,2023-08-11,2023-08-12,3,1317,0,2,1,4,5,1,8,0,0,3,0,263.4,1,0,0
49,4,1,2023-05-08,2023-05-14,2023-05-16,2,1969,1,1,1,6,8,2,5,0,0,2,3,246.125,1,1,0
50,5,7,2023-02-23,2023-02-26,2023-02-26,3,952,0,1,0,3,3,0,2,3,0,1,1,317.3333333333333,0,0,0
51,2,3,2024-03-25,2024-03-27,2024-03-28,1,604,0,2,1,2,3,1,3,0,0,1,2,201.33333333333334,0,0,0
52,6,1,2024-01-29,2024-02-01,2024-02-01,3,1174,0,1,0,3,3,0,1,0,0,1,1,391.3333333333333,1,0,0
53,7,4,2023-02-26,2023-02-27,2023-02-27,2,362,0,1,0,1,1,0,2,6,1,1,4,362.0,0,0,0
54,3,6,2023-02-28,2023-03-03,2023-03-04,0,1005,0,2,1,3,4,1,2,1,0,1,1,251.25,0,0,0
55,1,2,2023-03-05,2023-03-09,2023-03-12,0,1250,0,1,1,4,7,3,3,6,1,1,1,178.57142857142858,1,0,0
56,4,9,2023-10-27,2023-10-31,2023-11-02,3,1286,1,1,1,4,6,2,10,4,0,4,0,214.33333333333334,1,1,0
57,6,5,2023-07-31,2023-08-05,2023-08-12,0,1521,1,1,1,5,12,7,7,0,0,3,0,126.75,1,1,0
58,2,8,2024-04-01,2024-04-04,2024-04-06,1,921,1,1,1,3,5,2,4,0,0,2,2,184.2,0,1,0
59,0,6,2024-03-02,2024-03-06,2024-03-07,1,1413,2,1,1,4,5,1,3,5,1,1,0,282.6,1,1,0
60,7,1,2023-03-10,2023-03-11,2023-03-12,1,554,0,2,1,1,2,1,3,4,0,1,4,277.0,0,0,0
61,2,9,2023-01-27,2023-01-28,2023-01-31,1,523,0,1,1,1,4,3,1,4,0,1,4,130.75,0,0,0
62,5,8,2023-09-01,2023-09-05,2023-09-06,0,1367,0,2,1,4,5,1,9,4,0,3,0,273.4,1,0,0
63,2,3,2023-08-03,2023-08-08,2023-08-13,2,1677,2,1,1,5,10,5,8,3,0,3,3,167.7,1,1,0
64,4,7,2024-03-30,2024-03-31,2024-03-31,0,458,0,1,0,1,1,0,3,5,1,1,4,458.0,0,0,0
65,3,6,2023-12-11,2023-12-12,2023-12-15,0,496,0,2,1,1,4,3,12,0,0,4,4,124.0,0,0,0
66,4,0,2024-03-04,2024-03-08,2024-03-10,4,1311,0,0,1,4,6,2,3,0,0,1,0,218.5,1,0,1
67,7,9,2024-05-08,2024-05-09,2024-05-13,0,455,0,1,1,1,5,4,5,2,0,2,4,91.0,0,0,0
68,1,6,2023-07-06,2023-07-07,2023-07-09,3,550,0,1,1,1,3,2,7,3,0,3,4,183.33333333333334,0,0,0
69,7,6,2023-01-14,2023-01-19,2023-01-20,0,1718,0,2,1,5,6,1,1,5,1,1,3,286.3333333333333,1,0,0
70,2,4,2023-08-23,2023-08-25,2023-08-26,2,617,0,2,1,2,3,1,8,2,0,3,2,205.66666666666666,0,0,0
71,2,1,2023-12-05,2023-12-07,2023-12-11,0,879,0,0,1,2,6,4,12,1,0,4,2,146.5,0,0,1
72,7,8,2023-12-25,2023-12-27,2023-12-28,1,683,0,2,1,2,3,1,12,0,0,4,2,227.66666666666666,0,0,0
73,7,0,2023-01-05,2023-01-07,2023-01-08,1,629,0,2,1,2,3,1,1,3,0,1,2,209.66666666666666,0,0,0
74,4,3,2023-12-20,2023-12-23,2023-12-23,1,1085,0,1,0,3,3,0,12,2,0,4,1,361.6666666666667,0,0,0
75,8,3,2024-03-04,2024-03-08,2024-03-12,3,1244,3,2,1,4,8,4,3,0,0,1,1,155.5,1,1,0
76,8,2,2023-11-14,2023-11-19,2023-11-20,2,1618,2,1,1,5,6,1,11,1,0,4,0,269.6666666666667,1,1,0
77,3,6,2023-07-01,2023-07-04,2023-07-05,0,1154,0,2,1,3,4,1,7,5,1,3,1,288.5,1,0,0
78,6,1,2023-04-07,2023-04-13,2023-04-15,1,1880,2,2,1,6,8,2,4,4,0,2,3,235.0,1,1,0
79,8,4,2023-09-23,2023-09-24,2023-09-24,0,336,0,1,0,1,1,0,9,5,1,3,4,336.0,0,0,0
80,9,5,2023-10-06,2023-10-12,2023-10-18,1,1849,0,2,1,6,12,6,10,4,0,4,3,154.08333333333334,1,0,0
81,5,0,2024-02-24,2024-02-25,2024-02-27,3,421,2,2,1,1,3,2,2,5,1,1,4,140.33333333333334,0,1,0
82,0,1,2023-12-26,2023-12-28,2023-12-31,3,725,0,2,1,2,5,3,12,1,0,4,2,145.0,0,0,0
83,8,2,2023-09-26,2023-09-30,2023-10-02,3,1293,0,1,1,4,6,2,9,1,0,3,0,215.5,1,0,0
84,2,7,2023-05-06,2023-05-12,2023-05-14,1,1848,1,1,1,6,8,2,5,5,1,2,3,231.0,1,1,0
85,5,6,2023-12-22,2023-12-26,2023-12-28,2,1353,0,1,1,4,6,2,12,4,0,4,0,225.5,1,0,0
86,0,1,2024-04-01,2024-04-02,2024-04-02,2,564,0,1,0,1,1,0,4,0,0,2,2,564.0,0,0,0
87,6,5,2023-09-25,2023-10-01,2023-10-01,2,1814,0,1,0,6,6,0,9,0,0,3,3,302.3333333333333,1,0,0
88,7,3,2023-07-18,2023-07-19,2023-07-26,3,408,1,1,1,1,8,7,7,1,0,3,4,51.0,0,1,0
89,1,6,2024-04-07,2024-04-08,2024-04-08,2,587,0,1,0,1,1,0,4,6,1,2,2,587.0,0,0,0
90,2,5,2023-04-01,2023-04-04,2023-04-05,0,1017,0,2,1,3,4,1,4,5,1,2,1,254.25,0,0,0
91,1,7,2024-03-10,2024-03-12,2024-03-17,3,627,2,2,1,2,7,5,3,6,1,1,2,89.57142857142857,0,1,0
92,8,6,2023-03-26,2023-03-28,2023-04-02,3,602,0,1,1,2,7,5,3,6,1,1,2,86.0,0,0,0
93,9,3,2023-04-24,2023-04-25,2023-04-28,2,520,0,1,1,1,4,3,4,0,0,2,4,130.0,0,0,0
94,5,1,2023-11-17,2023-11-21,2023-11-23,1,1382,0,0,1,4,6,2,11,4,0,4,0,230.33333333333334,1,0,1
95,9,4,2023-04-28,2023-04-29,2023-05-03,1,518,0,0,1,1,5,4,4,4,0,2,4,103.6,0,0,1
96,3,9,2024-03-09,2024-03-14,2024-03-16,2,1585,1,1,1,5,7,2,3,5,1,1,0,226.42857142857142,1,1,0
97,8,7,2023-12-22,2023-12-28,2023-12-30,0,1861,0,1,1,6,8,2,12,4,0,4,3,232.625,1,0,0
98,2,4,2023-03-03,2023-03-04,2023-03-06,3,232,1,1,1,1,3,2,3,4,0,1,4,77.33333333333333,0,1,0
99,4,8,2023-05-02,2023-05-05,2023-05-09,0,1040,1,0,1,3,7,4,5,1,0,2,1,148.57142857142858,0,1,1
100,8,0,2023-11-21,2023-11-25,2023-11-29,0,1414,3,2,1,4,8,4,11,1,0,4,0,176.75,1,1,0
101,0,3,2023-05-27,2023-05-30,2023-05-31,4,1115,0,2,1,3,4,1,5,5,1,2,1,278.75,1,0,0
102,5,0,2023-10-28,2023-11-02,2023-11-04,2,1708,0,0,1,5,7,2,10,5,1,4,3,244.0,1,0,1
103,0,1,2024-02-28,2024-03-05,2024-03-10,2,1839,0,0,1,6,11,5,2,2,0,1,3,167.1818181818182,1,0,1
104,5,3,2023-05-30,2023-06-03,2023-06-04,0,1495,0,2,1,4,5,1,5,1,0,2,0,299.0,1,0,0
105,3,0,2024-04-17,2024-04-21,2024-04-21,1,1340,0,1,0,4,4,0,4,2,0,2,0,335.0,1,0,0
106,6,0,2023-05-31,2023-06-01,2023-06-03,2,364,0,0,1,1,3,2,5,2,0,2,4,121.33333333333333,0,0,1
107,6,0,2023-12-04,2023-12-09,2023-12-12,3,1726,1,2,1,5,8,3,12,0,0,4,3,215.75,1,1,0
108,8,0,2023-03-02,2023-03-05,2023-03-06,3,1172,2,1,1,3,4,1,3,3,0,1,1,293.0,1,1,0
109,4,6,2023-12-16,2023-12-17,2023-12-19,1,501,0,0,1,1,3,2,12,5,1,4,4,167.0,0,0,1
110,5,4,2023-04-18,2023-04-21,2023-04-23,1,1040,0,0,1,3,5,2,4,1,0,2,1,208.0,0,0,1
111,8,0,2024-04-19,2024-04-24,2024-04-29,2,1635,1,1,1,5,10,5,4,4,0,2,0,163.5,1,1,0
112,0,6,2023-05-11,2023-05-15,2023-05-16,3,1259,0,2,1,4,5,1,5,3,0,2,1,251.8,1,0,0
113,7,0,2024-03-20,2024-03-22,2024-03-22,3,779,0,1,0,2,2,0,3,2,0,1,2,389.5,0,0,0
114,0,8,2023-07-20,2023-07-22,2023-07-28,2,795,0,2,1,2,8,6,7,3,0,3,2,99.375,0,0,0
115,8,0,2024-01-26,2024-01-27,2024-01-27,1,215,0,1,0,1,1,0,1,4,0,1,4,215.0,0,0,0
116,4,8,2024-01-26,2024-01-28,2024-01-30,0,719,0,0,1,2,4,2,1,4,0,1,2,179.75,0,0,1
117,2,1,2023-10-06,2023-10-11,2023-10-11,1,1625,0,1,0,5,5,0,10,4,0,4,0,325.0,1,0,0
118,6,3,2023-07-14,2023-07-20,2023-07-25,3,1980,0,0,1,6,11,5,7,4,0,3,3,180.0,1,0,1
119,9,7,2023-05-21,2023-05-27,2023-05-29,2,1937,0,1,1,6,8,2,5,6,1,2,3,242.125,1,0,0
120,1,8,2023-05-12,2023-05-18,2023-05-19,4,1802,0,2,1,6,7,1,5,4,0,2,3,257.42857142857144,1,0,0
121,9,8,2024-01-24,2024-01-25,2024-01-26,3,361,0,2,1,1,2,1,1,2,0,1,4,180.5,0,0,0
122,1,6,2023-09-18,2023-09-23,2023-09-24,2,1638,0,2,1,5,6,1,9,0,0,3,0,273.0,1,0,0
123,5,1,2023-05-05,2023-05-10,2023-05-10,2,1703,0,1,0,5,5,0,5,4,0,2,3,340.6,1,0,0
124,1,3,2023-02-11,2023-02-12,2023-02-12,1,410,0,1,0,1,1,0,2,5,1,1,4,410.0,0,0,0
125,3,1,2024-03-22,2024-03-23,2024-03-24,3,321,0,2,1,1,2,1,3,4,0,1,4,160.5,0,0,0
126,6,2,2023-10-20,2023-10-21,2023-10-22,4,517,0,2,1,1,2,1,10,4,0,4,4,258.5,0,0,0
127,0,4,2024-03-02,2024-03-05,2024-03-05,1,953,0,1,0,3,3,0,3,5,1,1,1,317.6666666666667,0,0,0
128,8,4,2024-03-22,2024-03-28,2024-03-29,0,1926,0,2,1,6,7,1,3,4,0,1,3,275.14285714285717,1,0,0
129,5,4,2023-03-09,2023-03-13,2023-03-15,0,1313,0,0,1,4,6,2,3,3,0,1,0,218.83333333333334,1,0,1
130,8,0,2023-06-15,2023-06-16,2023-06-18,2,578,0,1,1,1,3,2,6,3,0,2,2,192.66666666666666,0,0,0
131,7,2,2023-12-23,2023-12-25,2023-12-28,4,772,0,2,1,2,5,3,12,5,1,4,2,154.4,0,0,0
132,1,3,2024-02-21,2024-02-24,2024-02-25,1,1073,0,2,1,3,4,1,2,2,0,1,1,268.25,0,0,0
133,4,2,2024-01-13,2024-01-16,2024-01-16,3,1120,0,1,0,3,3,0,1,5,1,1,1,373.3333333333333,1,0,0
134,0,4,2023-12-15,2023-12-20,2023-12-24,1,1771,0,0,1,5,9,4,12,4,0,4,3,196.77777777777777,1,0,1
135,5,9,2023-07-04,2023-07-06,2023-07-06,3,656,0,1,0,2,2,0,7,1,0,3,2,328.0,0,0,0
136,9,4,2023-03-08,2023-03-11,2023-03-16,0,1112,0,2,1,3,8,5,3,2,0,1,1,139.0,1,0,0
137,8,4,2023-05-07,2023-05-08,2023-05-08,4,337,0,1,0,1,1,0,5,6,1,2,4,337.0,0,0,0
138,2,4,2023-11-06,2023-11-09,2023-11-09,0,1189,0,1,0,3,3,0,11,0,0,4,1,396.3333333333333,1,0,0
139,4,8,2024-04-29,2024-05-04,2024-05-05,2,1610,0,2,1,5,6,1,4,0,0,2,0,268.3333333333333,1,0,0
140,7,2,2023-12-18,2023-12-22,2023-12-24,1,1255,1,1,1,4,6,2,12,0,0,4,1,209.16666666666666,1,1,0
141,2,0,2024-05-08,2024-05-11,2024-05-12,0,1101,0,2,1,3,4,1,5,2,0,2,1,275.25,0,0,0
142,8,6,2023-07-29,2023-08-02,2023-08-04,0,1334,2,2,1,4,6,2,7,5,1,3,0,222.33333333333334,1,1,0
143,2,6,2023-06-05,2023-06-10,2023-06-11,1,1783,2,1,1,5,6,1,6,0,0,2,3,297.1666666666667,1,1,0
144,2,9,2023-04-23,2023-04-25,2023-04-25,3,603,0,1,0,2,2,0,4,6,1,2,2,301.5,0,0,0
145,1,6,2023-10-28,2023-11-01,2023-11-01,1,1275,0,1,0,4,4,0,10,5,1,4,1,318.75,1,0,0
146,2,3,2024-04-26,2024-04-27,2024-04-27,0,581,0,1,0,1,1,0,4,4,0,2,2,581.0,0,0,0
147,9,0,2023-05-21,2023-05-25,2023-05-28,0,1374,0,1,1,4,7,3,5,6,1,2,0,196.28571428571428,1,0,0
148,0,4,2023-10-29,2023-10-30,2023-11-06,2,203,1,0,1,1,8,7,10,6,1,4,4,25.375,0,1,1
149,8,6,2023-03-24,2023-03-25,2023-03-27,0,476,1,1,1,1,3,2,3,4,0,1,4,158.66666666666666,0,1,0
150,4,5,2024-04-08,2024-04-10,2024-04-10,3,600,0,1,0,2,2,0,4,0,0,2,2,300.0,0,0,0
151,9,7,2024-02-21,2024-02-25,2024-03-01,1,1448,0,1,1,4,9,5,2,2,0,1,0,160.88888888888889,1,0,0
152,6,7,2023-11-02,2023-11-06,2023-11-06,3,1430,0,1,0,4,4,0,11,3,0,4,0,357.5,1,0,0
153,1,4,2023-03-05,2023-03-06,2023-03-06,4,272,0,1,0,1,1,0,3,6,1,1,4,272.0,0,0,0
154,9,7,2023-07-21,2023-07-26,2023-07-31,2,1568,3,1,1,5,10,5,7,4,0,3,0,156.8,1,1,0
155,9,6,2023-08-15,2023-08-20,2023-08-22,2,1578,0,0,1,5,7,2,8,1,0,3,0,225.42857142857142,1,0,1
156,6,8,2024-01-07,2024-01-10,2024-01-11,1,1173,2,1,1,3,4,1,1,6,1,1,1,293.25,1,1,0
157,4,0,2023-12-12,2023-12-14,2023-12-18,2,826,0,1,1,2,6,4,12,1,0,4,2,137.66666666666666,0,0,0
158,0,1,2024-03-31,2024-04-03,2024-04-03,3,1067,0,1,0,3,3,0,3,6,1,1,1,355.6666666666667,0,0,0
159,1,4,2023-08-21,2023-08-26,2023-08-27,2,1764,0,2,1,5,6,1,8,0,0,3,3,294.0,1,0,0
160,3,0,2024-04-22,2024-04-26,2024-04-28,3,1238,0,0,1,4,6,2,4,0,0,2,1,206.33333333333334,1,0,1
161,4,0,2024-05-22,2024-05-23,2024-05-24,1,564,0,2,1,1,2,1,5,2,0,2,2,282.0,0,0,0
162,0,6,2024-06-01,2024-06-04,2024-06-05,0,957,2,1,1,3,4,1,6,5,1,2,1,239.25,0,1,0
163,7,5,2023-02-19,2023-02-24,2023-02-25,3,1646,0,2,1,5,6,1,2,6,1,1,3,274.3333333333333,1,0,0
164,3,1,2024-02-19,2024-02-21,2024-02-21,1,625,0,1,0,2,2,0,2,0,0,1,2,312.5,0,0,0
165,2,1,2023-07-10,2023-07-16,2023-07-17,1,1938,2,1,1,6,7,1,7,0,0,3,3,276.85714285714283,1,1,0
166,1,9,2023-08-24,2023-08-25,2023-08-27,2,282,0,0,1,1,3,2,8,3,0,3,4,94.0,0,0,1
167,6,8,2023-07-01,2023-07-06,2023-07-07,2,1635,0,2,1,5,6,1,7,5,1,3,0,272.5,1,0,0
168,7,9,2023-02-01,2023-02-06,2023-02-09,1,1708,0,1,1,5,8,3,2,2,0,1,3,213.5,1,0,0
169,6,1,2023-08-29,2023-09-01,2023-09-01,3,1019,0,1,0,3,3,0,8,1,0,3,1,339.6666666666667,0,0,0
170,3,8,2023-01-12,2023-01-13,2023-01-16,1,522,3,1,1,1,4,3,1,3,0,1,4,130.5,0,1,0
171,1,0,2024-04-11,2024-04-14,2024-04-15,3,965,0,2,1,3,4,1,4,3,0,2,1,241.25,0,0,0
172,6,4,2024-05-26,2024-05-29,2024-05-29,2,1060,0,1,0,3,3,0,5,6,1,2,1,353.3333333333333,0,0,0
173,4,1,2024-04-12,2024-04-16,2024-04-17,3,1462,0,2,1,4,5,1,4,4,0,2,0,292.4,1,0,0
174,7,3,2023-04-02,2023-04-06,2023-04-08,0,1350,0,0,1,4,6,2,4,6,1,2,0,225.0,1,0,1
175,9,5,2023-10-04,2023-10-09,2023-10-14,1,1757,0,2,1,5,10,5,10,2,0,4,3,175.7,1,0,0
176,9,5,2024-02-07,2024-02-10,2024-02-14,2,980,0,0,1,3,7,4,2,2,0,1,1,140.0,0,0,1
177,5,0,2023-03-08,2023-03-09,2023-03-11,2,296,0,0,1,1,3,2,3,2,0,1,4,98.66666666666667,0,0,1
178,2,3,2024-03-10,2024-03-13,2024-03-16,0,929,3,1,1,3,6,3,3,6,1,1,1,154.83333333333334,0,1,0
179,5,3,2024-02-17,2024-02-18,2024-02-23,2,238,0,1,1,1,6,5,2,5,1,1,4,39.666666666666664,0,0,0
180,8,9,2023-08-28,2023-09-01,2023-09-01,3,1452,0,1,0,4,4,0,8,0,0,3,0,363.0,1,0,0
181,6,2,2023-03-28,2023-04-01,2023-04-01,0,1436,0,1,0,4,4,0,3,1,0,1,0,359.0,1,0,0
182,5,2,2023-01-25,2023-01-27,2023-01-28,0,632,0,2,1,2,3,1,1,2,0,1,2,210.66666666666666,0,0,0
183,8,5,2023-12-10,2023-12-14,2023-12-16,0,1229,2,2,1,4,6,2,12,6,1,4,1,204.83333333333334,1,1,0
184,4,5,2023-06-15,2023-06-18,2023-06-19,1,975,0,2,1,3,4,1,6,3,0,2,1,243.75,0,0,0
185,0,8,2023-10-01,2023-10-02,2023-10-04,0,544,0,0,1,1,3,2,10,6,1,4,4,181.33333333333334,0,0,1
186,9,7,2023-12-03,2023-12-08,2023-12-11,1,1769,2,0,1,5,8,3,12,6,1,4,3,221.125,1,1,1
187,1,5,2023-10-08,2023-10-14,2023-10-22,3,1960,1,0,1,6,14,8,10,6,1,4,3,140.0,1,1,1
188,0,6,2023-07-06,2023-07-11,2023-07-16,2,1632,0,0,1,5,10,5,7,3,0,3,0,163.2,1,0,1
189,5,6,2024-05-15,2024-05-21,2024-05-24,4,1859,1,2,1,6,9,3,5,2,0,2,3,206.55555555555554,1,1,0
190,4,8,2023-02-04,2023-02-08,2023-02-09,1,1438,0,2,1,4,5,1,2,5,1,1,0,287.6,1,0,0
191,9,5,2023-03-02,2023-03-05,2023-03-07,2,1038,1,1,1,3,5,2,3,3,0,1,1,207.6,0,1,0
192,9,1,2023-08-27,2023-08-30,2023-09-01,3,967,1,1,1,3,5,2,8,6,1,3,1,193.4,0,1,0
193,9,2,2023-04-05,2023-04-06,2023-04-13,3,244,2,2,1,1,8,7,4,2,0,2,4,30.5,0,1,0
194,2,3,2023-06-14,2023-06-17,2023-06-19,2,912,0,0,1,3,5,2,6,2,0,2,2,182.4,0,0,1
195,2,5,2023-05-15,2023-05-18,2023-05-21,2,1046,3,1,1,3,6,3,5,0,0,2,1,174.33333333333334,0,1,0
196,0,6,2023-07-17,2023-07-18,2023-07-19,0,541,0,2,1,1,2,1,7,0,0,3,4,270.5,0,0,0
197,1,9,2023-09-27,2023-10-03,2023-10-02,2,1748,0,2,1,6,5,-1,9,2,0,3,3,349.6,1,0,0
198,2,6,2024-03-18,2024-03-22,2024-03-23,2,1399,0,2,1,4,5,1,3,0,0,1,0,279.8,1,0,0
199,0,5,2023-04-27,2023-04-30,2023-04-30,0,1023,0,1,0,3,3,0,4,3,0,2,1,341.0,0,0,0
200,6,4,2023-12-14,2023-12-19,2023-12-20,2,1684,0,2,1,5,6,1,12,3,0,4,3,280.6666666666667,1,0,0
201,7,8,2023-04-28,2023-05-01,2023-05-03,4,1144,0,0,1,3,5,2,4,4,0,2,1,228.8,1,0,1
202,7,4,2023-02-03,2023-02-08,2023-02-11,0,1662,3,1,1,5,8,3,2,4,0,1,3,207.75,1,1,0
203,9,1,2024-03-22,2024-03-25,2024-03-26,2,955,2,1,1,3,4,1,3,4,0,1,1,238.75,0,1,0
204,1,9,2024-03-21,2024-03-23,2024-03-25,3,870,1,1,1,2,4,2,3,3,0,1,2,217.5,0,1,0
205,9,7,2023-08-07,2023-08-11,2023-08-13,1,1217,2,2,1,4,6,2,8,0,0,3,1,202.83333333333334,1,1,0
206,7,6,2023-04-17,2023-04-20,2023-04-20,1,1031,0,1,0,3,3,0,4,0,0,2,1,343.6666666666667,0,0,0
207,1,7,2024-05-08,2024-05-14,2024-05-15,1,1824,0,2,1,6,7,1,5,2,0,2,3,260.57142857142856,1,0,0
